Almacén,Descripción del almacén,Clave de artículo,Estatus,Descripción del producto
3,MATERIA PRIMA,29-EMP-DOBLE-PZ1,Activo,CAJA DOBLE CORRUGADO18X44X26
3,MATERIA PRIMA,JO-DO-CO-03-PZ,Activo,CAJA GRANDE DOB CORR 44.0 X 18.0 X 26.0
3,MATERIA PRIMA,29-EMP-VA-CH,Activo,CAJA TOPLOADERS 249.25X125.293
3,MATERIA PRIMA,29-EMP-VA-GDE,Activo,CAJA TOPLOADERS 264X125.293
3,MATERIA PRIMA,MAT-CAN-02,Activo,CANASTO BEIGE
3,MATERIA PRIMA,MAT-CAN-GR,Activo,CANASTO GRIS
3,MATERIA PRIMA,MAT-CAN-01,Activo,CANASTO NEGRO
3,MATERIA PRIMA,01-POLY-VD,Activo,CANASTO VERDE
3,MATERIA PRIMA,PA-PA-CA-01,Activo,CAPLE PONDER REV CAFE 60X90 14P
3,MATERIA PRIMA,GE-CL-CA-01,Activo,CARBOMER 340 BOLSA 1KG
3,MATERIA PRIMA,GE-CL-CA-CJ,Activo,CARBOMER 340 CJ 21 KG
3,MATERIA PRIMA,CO-CD-CA-01,Activo,CARRETEL LISO RANURACORTA B0-1032B-755 S
3,MATERIA PRIMA,MP5-109,Activo,CARRO CIERRE DE NYLON #5 NEGRO
3,MATERIA PRIMA,MP5-107,Activo,CARRO JALADERA P/CIERRE PVC TRANSPARENTE
3,MATERIA PRIMA,P5-105,Activo,CARRO No. 5 AZUL MARINO
3,MATERIA PRIMA,53141600,Activo,CARRO No. 5 BLANCO
3,MATERIA PRIMA,P5-104,Activo,CARRO No. 5 GRIS
3,MATERIA PRIMA,CIM-C5-BA-MT,Activo,CARRO No. 5 VERDE BANDERA P/CIERRE
3,MATERIA PRIMA,MP5-108,Activo,CARRO PARA CIERRE DE VINIL NEGRO
3,MATERIA PRIMA,MP5-114,Activo,CARRO PARA CIERRE NYLON #3 VERDE
3,MATERIA PRIMA,MP5-106,Activo,CARRO PARA CIERRE VINIL TRANSPARENTE
3,MATERIA PRIMA,PA-PA-AG-PZ,Activo,CARTON AGUA GRAF 92X130 98P 2.50 MM
3,MATERIA PRIMA,MP6-CA,Activo,CARTÓN GRIS NAL. #6 (3MM)  100*130CM
3,MATERIA PRIMA,CAR-001-CH,Activo,CARTULINA CARTON CHICA
3,MATERIA PRIMA,CAR-002-GR,Activo,CARTULINA CARTON GRANDE
3,MATERIA PRIMA,SE-SE-CA-01,Activo,CATALIZADOR ADHESIVO AB-8066
3,MATERIA PRIMA,CI-CB-CA,Activo,CATALOGO DE COLORES
3,MATERIA PRIMA,CI-CB-CI-03,Activo,CIERRE AZUL MARINO No. 3
3,MATERIA PRIMA,CIE-B-T-001-MP,Activo,CIERRE BLANCO TRANSPARENTE
3,MATERIA PRIMA,CI-CB-CD-01,Activo,CIERRE CARBON CON DESLIZADORES
3,MATERIA PRIMA,CIE-NG-001,Activo,CIERRE CHINO NEGRO (MADEJA)
3,MATERIA PRIMA,CR-001-CH,Activo,CIERRE CHINO TRANSPARENTE
3,MATERIA PRIMA,CI-CB-CP-PZ,Activo,CIERRE DE 1 MT POLIESTER 03 MARINO
3,MATERIA PRIMA,CI-CB-CN-01,Activo,CIERRE DE 1 MT POLIESTER 05 ESMERALDA
3,MATERIA PRIMA,CI-IM-CN-16,Activo,CIERRE DE 1 MT POLIESTER 05 GRIS
3,MATERIA PRIMA,MP5-110,Activo,CIERRE DE NYLON  #5 NEGRO
3,MATERIA PRIMA,MP5-113,Activo,CIERRE DE NYLON #3 VERDE
3,MATERIA PRIMA,MPV-A-000211-MT,Activo,CIERRE DE NYLON AZUL  REY NO.5
3,MATERIA PRIMA,MP5-112,Activo,CIERRE DE VINIL C/CARRO NEGRO
3,MATERIA PRIMA,MP5-111,Activo,CIERRE DE VINIL C/CARRO TRANSPARENTE
3,MATERIA PRIMA,CI-CB-CI-01,Activo,CIERRE GRIS 16 No. 5
3,MATERIA PRIMA,MP5-133,Activo,CIERRE MINIGRIP NEGRO
3,MATERIA PRIMA,MP5-132,Activo,CIERRE MINIGRIP TRANSPARENTE
3,MATERIA PRIMA,MP5-115,Activo,CIERRE NEGRO DE CARRO CON JALADERA
3,MATERIA PRIMA,CI-IM-CN-05,Activo,CIERRE No 5 AZUL PANAM
3,MATERIA PRIMA,CI-IM-CN-11,Activo,CIERRE No 5 BEIGE
3,MATERIA PRIMA,53141506,Activo,CIERRE No 5 COLORES
